감사하다,7898
확인,7288
교수,6965
드리다,6605
해주다,5038
문의,4831
블랙보드,4634
학생,4444
강의,4280
출석,4143
수업,4027
영상,3734
답변,3511
설정,3355
문제,3058
내용,3009
안녕하다,2966
시험,2870
해보다,2854
하루,2802
경우,2785
보내다,2614
좋다,2605
메뉴,2590
코스,2564
뜨다,2379
궁금하다,2367
접속,2352
께서,2340
사용,2285
편하다,2230
로그인,2172
들어가다,2109
조교,2100
가능하다,2099
남기다,2067
종료,2065
방법,2015
해당,2011
발생,1985
등록,1877
맞다,1863
클릭,1837
두시,1832
화면,1814
제출,1814
부탁드리다,1790
녹화,1759
누르다,1759
많다,1747
과제,1741
브라우저,1734
삭제,1657
걸리다,1598
사항,1570
현재,1561
말씀,1494
관련,1452
파일,1420
락다운,1416
기록,1399
버튼,1359
변경,1341
체크,1340
바라다,1337
운영,1333
해결,1307
최대한,1276
크롬,1271
안내,1268
빨리,1268
센터,1267
콜라보,1260
달려오다,1216
평소,1207
연락,1199
진행,1195
링크,1172
이메일,1165
수강,1163
학우,1140
ac,1138
korea,1115
이용,1112
kr,1110
레이,1098
학습,1070
오류,1061
과목,1034
시청,1031
반영,1014
상태,1013
참고,1000
자료,962
자다,960
업로드,958
메일,951
기다리다,945
통해,915
수정,914
성적,912
zoom,898
올리다,890
시도,886
환경,885
학기,869
학습자,855
상황,828
요청,822
계정,822
이후,809
해드리다,787
완료,775
실시간,774
연결,758
아래,749
선생님,744
죄송하다,743
건강,740
페이지,738
입력,735
시작,734
조심하다,731
교육,730
저장,728
관리,721
여쭈다,711
추가,710
사진,707
공개,703
학교,702
에도,701
따로,698
컴퓨터,697
처리,692
지원,678
공유,678
도움,677
문의사항,674
보이지,667
옵션,658
기능,653
프로그램,652
네트워크,648
하단,646
실행,638
줄다,627
하나요,621
늦어지다,611
에서는,608
중간,606
사이트,606
다운로드,606
오른쪽,606
포털,604
놓치다,601
원격,601
https,601
모바일,596
건가,592
사용자,584
활성화,578
점수,577
정상,576
분반,576
만들다,576
공지,572
인증,570
학번,570
주소,569
필요하다,568
청강생,567
평일,560
전체,557
정보,555
클래스,552
네네,549
권한,544
인지,544
인가요,544
주신,543
인터넷,539
활동,535
접근,533
자동,532
계시다,527
어렵다,525
말씀드리다,522
테스트,521
찾다,521
로그,517
현황,517
채점,515
먼저,511
온라인,507
아이디,504
회의,501
세션,499
질문,497
기간,490
기기,489
ec,487
업데이트,487
응시,485
따르다,479
직접,475
구글,470
Zoom,468
쿠키,468
권장,466
또는,455
대인,453
허용,451
시스템,447
선택,445
상단,441
나타나다,440
인정,438
끝나다,435
번호,435
입장,433
이름,432
바꾸다,427
표시,425
드릴,424
듣다,423
학부,421
마이크,421
비밀번호,420
유지,416
다운,415
걸다,408
카메라,408
괜찮다,407
결과,407
원격지원,406
설치,405
양해,402
Collaborate,402
보안,396
